,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year
379,Signzy,Computer,Series A,3508192,Bangalore,Signzy are creating 'building blocks for a Digital Trust system.,2018
380,CashRich,Apps,Seed,1000000,Mumbai,A Mumbai-based fin-tech startup,2018
381,Cloudnine Hospitals,Child Care,Private Equity,0,Bangalore,Cloudnine is an Indian chain of women and child care hospitals.,2018
382,CropIn Technologies,Agriculture,Series B,8478132,Bengaluru,"To discover, develop and deliver innovative solution in Agtech Space",2018
383,Billdesk,Finance,Venture - Series Unknown,0,Ahmedabad,"BillDesk, a property of IndiaIdeas.com Ltd. was conceived in early 2000 to solve the frustrations of most of us when it comes to paying",2018
384,Yaantra,Information Services,Debt Financing,2000000,Delhi,"Yaantra, India’s leading mobile phone repair, refurbished & Unboxed centre In India",2018
385,TECHBOOZE,Education,Seed,100000,New Delhi,"Techbooze[1] ""AN OPEN FORUM"" is an educational enterprise, headquartered in India working across the country.",2018
386,HealthifyMe,Apps,Series B,6000000,Bangalore,HealthifyMe is an application that allows its users to achieve their fitness and weight loss goals from their computers and smartphones.,2018
387,hoi foods,Food and Beverage,Seed,526229,Gurgaon,India's first hotel dedicated food brand which promises great in room dining experience in budget hotels,2018
388,Perpule,Apps,Series A,4969939,Bangalore,Perpule is a self-checkout product for retail outlets to enhance the shopping experience of the customers.,2018
389,Royal Sundaram General Insurance Co. Limited,Health Insurance,Corporate Round,210000000,Kalpakkam,"Royal Sundaram provides comprehensive insurance plans and innovative insurance solutions to individuals, families and businesses.",2018
390,CleanseCar,Automotive,Angel,511611,Bangalore,CleanseCar is a company provides Washing and Repair Services.,2018
391,DRIVEU,Rental,Venture - Series Unknown,1023223,Bengaluru,DriveU is a convenient and a quick way of getting on demand drivers for consumers and businesses,2018
392,Spinny,E-Commerce,Series A,11000000,Gurgaon,Used cars marketplace in India. Ushering new era of transparency and convenience.,2018
393,Asset Reconstruction Company (India) Ltd.,Financial Services,Secondary Market,0,Mumbai,Asset Reconstruction Company (India) Ltd. operates as a asset reconstruction company.,2018
394,Med365 Healthcare,Health Diagnostics,Seed,730873,Jaipur,"Wellness, Specialised Testing, Healthcare at Home",2018
395,Dunzo,Customer Service,Debt Financing,1023223,Bangalore,Dunzo is an app that connects you with the nearest available delivery partner to pickup or deliver items for you.,2018
396,Mobile Premier League (MPL),Gaming,Series A,5000000,Bengaluru,Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games and win real cash always.,2018
397,WalMart India,Retail,Venture - Series Unknown,37680000,Gurgaon,"Wal-Mart India Private Limited is a wholly owned subsidiary of Walmart Stores Inc.,",2018
398,Cred,,Seed,0,Bengaluru,Cred is a platform to celebrate and reward the most creditworthy people of India.,2018
399,Meesho,E-Commerce,Series C,50000000,Bangalore,"Meesho is an online reseller network of housewives and SMBs, who sell products within their network on social channels.",2018
400,BhaskarGuru,Search Engine,Seed,1000000,Bhopal,Bhaskarguru.com is your local search Engine,2018
401,Gugu,Battery,Seed,250000,Coimbatore,Gugu designs & Sells all Electric Connected Two-wheeler's with Network of Open & Free Fast charging Stations across India.,2018
402,FarmTaaza,Agriculture,Series A,0,Bengaluru,Farm Taaza provides expert advice to the farmers on improving the yield and improving the field operations of the farmer.,2018
403,Vizzbee,Artificial Intelligence,Pre-Seed,20000,Bhopal,Autonomous Drone Solutions for last mile delivery as well as search and rescue,2018
404,BIGPHI TECHNOLOGIES PVT. LTD.,Fashion,Angel,900000,Bangalore,BIGPHI technologies is the India's first technologically advanced apparel and wearable company.,2018
405,Mobycy,Fitness,Angel,0,Gurgaon,India's 1st Dockless Bicycle Sharing App,2018
406,Traveo Soft Pvt. Ltd.,Mobile,Undisclosed,17541,Bangalore,AI based Business Travel & Expense management,2018
407,Em Personal Care,Cosmetics,Seed,0,Worli,Em Personal Care is a Cosmetic products manufacturing Company.,2018
408,Lucideus,Consulting,Venture - Series Unknown,5000000,New Delhi,"Lucideus is a cybersecurity company that offers its customers with consultancy, training, and solutions to counteract cyber-attacks.",2018
409,Eupheus Learning,E-Learning,Seed,0,Delhi,Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.,2018
410,GamingMonk,eSports,Series A,584699,New Delhi,"GamingMonk is an eSports gaming company based out of New Delhi, India.",2018
411,Sukkhi Jewellery,Fashion,Venture - Series Unknown,7454909,Mumbai,Sukkhi Jewellery is a Contemporary fashion jewellery brand.,2018
412,INDwealth,Financial Services,Seed,32158430,Gurgaon,INDwealth is an Artificial Intelligence (AI) powered wealth management company,2018
413,Medikabazaar,B2B,Series A,5000000,Mumbai,India's largest medical and surgical supplies marketplace,2018
414,NIRA,Credit,Seed,1000000,Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",2018
415,Duroflex Pvt. Ltd.,Consumer Goods,Private Equity,22000000,Alleppey,Duroflex Pvt. Ltd. operates as a dominant mattress player.,2018
416,Clensta,Biotechnology,Seed,0,New Delhi,A biotechnology start-up was incorporated to improve the National Hygiene condition whilst addressing the aspect of water conservation.,2018
417,Jetbrain Robotics,Health Care,Seed,70000,Gurgaon,"Jetbrain Robotics is Hong Kong / Gurgaon based company, building advanced robotic transportation solutions for multi speciality hospitals.",2018
418,Medimetry,Health Care,Seed,0,Haryana,"MediMetry is an online platform where patients can consult specialists doctors online - from anywhere, at anytime.",2018
419,Healthkart,E-Commerce,Venture - Series Unknown,10000000,Gurgaon,"The one stop shop for health, fitness & beauty.",2018
420,Indiabulls Ventures,Financial Services,Post-IPO Equity,224992070,Mumbai,Indiabulls Ventures Limited is one of India’s leading capital market companies providing securities and derivative broking services.,2018
421,Vistara,Aerospace,Private Equity,292349363,Haryana,Vistara is a joint venture of Tata Sons Limited and Singapore Airlines Limited (SIA),2018
422,ClearTax,Accounting,Series B,58469873,New Delhi,ClearTax India helps individuals prepare and e-file their Income Tax Return online.,2018
423,Shuttl,Apps,Debt Financing,1000000,Gurgaon,"Shuttl provides an app-based office shuttle service to make daily commute safe, reliable, affordable and dignified for everyone.",2018
424,GuruQ,Reading Apps,Seed,365437,New Delhi,A one of its kind digital integrated platform connecting tutors and students.,2018
425,Azure Power,Energy,Post-IPO Equity,185000000,New Delhi,"Azure Power produces and distributes solar power to commercial, government, and utility customers in India.",2018
426,Cube,Banking,Series A,2046446,Mumbai,Cube is consumer banking focused fintech company.,2018
427,RAHI Care,Health Care,Venture - Series Unknown,0,Chandigarh,RAHI Care is a Health Care company.,2018
428,Mynvax,Biotechnology,Angel,0,Bangalore,Mynvax is a biotech Company.,2018
429,Loans4SME,Financial Services,Seed,0,Mumbai,Loans4SME is an alternative lending platform.,2018
430,UpCyclersLab,Apps,Seed,0,Mumbai,UpCyclersLab is a startup that makes sustainability-based learning tools for children above the age of five.,2018
431,Cellerite Systems,Electric Vehicle,Seed,0,Hyderabad,Cellerite Systems is a charging solutions provider for electric vehicles.,2018
432,Taru Naturals,Agriculture,Seed,0,Mumbai,Taru Naturals is a network that connects farmer communities with clean technology and renewable energy.,2018
433,LetsMD,Fitness,Seed,1000000,New Delhi,LetsMD.com is a marketplace for elective surgeries,2018
434,Twenty Two Motors,Automotive,Corporate Round,65000000,Haryana,Twenty Two Motors aim of making cutting edge EV technology affordable for the current generation.,2018
435,Truebil,Automotive,Series A,2000000,Mumbai,"Truebil is a team of young, highly motivated professionals who strive to help you buy and sell used cars in the simplest way possible.",2018
436,FarmersFZ,Agriculture,Seed,0,Kochi,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,2018
437,Worxogo,Information Technology,Series A,2411882,Bangalore,worxogo’s is a pioneering persuasive technology products align employee behaviours .,2018
438,Vivish Technologies (myGate),Apps,Series A,9501354,Bengaluru,India's leading mobile based security management solution .,2018
439,Singularity Dynamics,Artificial Intelligence,Seed,0,Bengaluru,Singularity Dynamics is a Chip-design testing startup.,2018
440,Virtual MetalStreet(MetalStreet),B2B,Angel,700000,Bengaluru,Virtual MetalStreet(Metalstreet) is a B2B marketplace for steel trading in India,2018
441,Veritas Finance,Financial Services,Venture - Series Unknown,30000000,Guindy,Veritas Finance has been promoted with a primary purpose of meeting the working capital and business credit requirements of the small bus.,2018
442,Manjushree Technopack,Packaging Services,Private Equity,0,Bangalore,Manjushree Technopack is a Rigid plastics packaging convertor in India and South Asia.,2018
443,GoZefo,Computer,Venture - Series Unknown,3069668,Bangalore,Startup working on a white space in the eCommerce industry.,2018
444,Zomato,Food Delivery,Secondary Market,210000000,Gurgaon,Zomato is a search app offering detailed information for restaurants as well as online food delivery.,2018
445,Innov8 Coworking,Collaboration,Seed,4000000,New Delhi,Innov8 is a Y- Combinator backed company that offers coworking and shared office spaces.,2018
446,RevFin,Accounting,Seed,0,Delhi,RevFin is a digital lending company.,2018
447,Lavelle Networks,Cloud Computing,Venture - Series Unknown,292349,Bengaluru,Lavelle Networks provides Software Defined WAN (SD-WAN) Solutions to build end to end Enterprise Networking Platforms for tomorrow,2018
448,Blackbuck,Information Services,Series D,29667613,Bengaluru,Blackbuck is a logistics startup based in India.,2018
449,Cardekho,Automotive,Series C,75000000,Gurgaon,Cardekho is a car search venture that helps users buy cars that are right for them.,2018
