,Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,Year
952,Entri,2017,Kochi,Edtech,It is a app that provides different types of learning content in local languages,"Mohammed Hisamuddin, Rahul Ramesh",Good Capital,14000000,Seed Round,2020
953,Oye! Rickshaw,0,,E-mobility,App-based electric rickshaw hailing service,Akash Deep,Chiratae Ventures,100000000,Series A,2020
954,Seal Professional,2012,Bangalore,Edtech,Trains students in managemnt and leadership skills and also helps in placement,,Equanimity Ventures,0,Pre series A,2020
955,Sprinng Foods,0,Mumbai,Food,Provides Gluten-free food,Tarun Khanna,"Mistletoe, Info Edge Asia",0,Seed,2020
956,1MG,2015,Gurugram,Healthtech,Online pharmacy,"Prashant Tandon, Gaurav Agarwal, Vikas Chauhan",Bill & Melinda Gates Foundation,99000000,Seed,2020
957,Aagey,0,Bangalore,Fintech,Provides financial assistance to MSMEs,Akaash Shankar,"JITO Angel Network, Ketan Kothari, Girish Jain, Sunil Singhvi, Vinay Jain",0,Seed,2020
958,Doubtnut,2017,Gurugram,Edtech,Multi-lingual digital solutions platform for students,"Tanushri Nagori, Aditya Shankar",Tencent,150000000,Series A,2020
959,AdonMo,2017,Bangalore,Ad-tech,It is an online and outdoor advertising company,"Sandeep Bommireddi, Sravanth Gajula",Ant Financial,30000000,Seed,2020
960,RACEnergy,2018,,E-mobility,It builds electric vehicles and supporting infrastructure,"Arun Sreyas, Gautham Maheswaran","GrowX ventures, Prophetic Ventures",0,Seed Round,2020
961,BharatPe,2018,Delhi,Fintech,Digital payments platform,Ashneer Grover,Coatue Management,1000000000,Seed,2020
962,Kisan Network,2015,Gurugram,Agritech,Integrated supply chain for farmers to sell their produce directly to buyers,"Aditya Agarwalla, Sanjay Agarwalla",Atsushi Taira,30000000,Seed Round,2020
963,Vogo,2016,Bangalore,Automotive,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal",Lightstone Aspada,350000000,Series C,2020
964,Yolo,2019,Gurugram,Transport,Intercity transportation startup,"Shailesh Gupta, Mukul Shah, Danish Chopra",Undisclosed,6000000,Seed Round,2020
965,Unotech,2011,Mumbai,SaaS,It develops fully-customisable open source software,Vikash Jha,Manish Choksi,20000000,Seed,2020
966,Zetwerk,2018,Bangalore,Marketplace,B2B marketplace that connects manufacturing companies for industrial equipements,"Amrit Acharya, Srinath Ramakkrushnan, Vishal Chaudhary",InnoVen capital,22000000,Seed,2020
967,CureSkin,2017,Bangalore,Healthtech,Provides a treatment solution for skincare and hair fall issues with an artificial intelligence-enabled solution,"Guna Kakulapati, Rama Rajanna, Charu Sharma",SenseAI Ventures,5000000,Seed,2020
968,WizKlub,2018,Bangalore,Edtech,Helps students solve problems at complex level,Amit Bansal,Incubate Fund India,9825300,Seed Funding,2020
969,Interviewbit,2014,Pune,Edtech,Platform that provides coding and interview preparation course by industry professionals from tech companies,Abhimanyu Saxena,"Tiger Global Management, Sequoia Capital India, Singapore’s Economic Development Board (EBD)",2000000000,Series A,2020
970,MoneyTap,2016,,Fintech,App-based consumer credit line that gives customers access to credit on tap.,"Bala Parthasarathy, Anuj Kacker, Kunal Varma","Aquiline Technology Growth (ATG), RTP Global, Sequoia India",701852000,Series B,2020
971,Uniplatform Tech,2015,Delhi,SaaS,Runs real estate SaaS platform MultiplyMyLeads.com.,"Rohit Manghnani, Amit K Jaiswal, Iccha Manghnani","Frontline Strategy Finds, SucSEED Venture Partners LLP",0,Seed,2020
972,INdwealth,0,Gurugram,Fintech,An Artificial Intelligence and Machine learning based wealth management platform,Ashish Kashyap,"Tiger Global, Steadview Capital, DF International Private Partners",120000000,Series C,2020
973,Bizongo,2015,Mumbai,Marketplace,A B2B marketplace for packaging materials,"Sachin Agarwal, Aniket Deb, Ankit Tomar",Schroder Adveq,300000000,Series C,2020
974,AppsFlyer,2011,Bangalore,SaaS,Mobile marketing analytics and attribution platform,"Oren Kaniel, Reshef Mann",General Atlantic,2100000000,Series D,2020
975,Digit Insurance,0,Bangalore,Insurtech,General Insurance Company,Kamesh Goyal,"A91 Partners, Faering Capital, TVS Capital",840000000,Seed,2020
976,Livspace,2014,Bangalore,Interior Design,It offers end-to-end home design experience for homeowners and home designers,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","Tahoe Investment Group, Mercer Investment",600000000,Series D,2020
977,GetVantage,0,Mumbai,Fintech,Revenue based finance provider,Bhavik Vasa,"Samyakth Capital, Venture Catalysts",0,Seed Round,2020
978,Konfinity,2018,Noida,Edtech,Provides online coding courses,"Navratn Singh, Kamal Pandey",Angel investors,0,Seed,2020
979,Pine Labs,0,Noida,Fintech,Retail payment and hardware company,"Lokvir Kapoor, Rajul Garg, Tarun Upaday",Mastercard,0,Seed,2020
980,Instoried,0,Delhi,SaaS,Augmented writing platform which improves customer interest and engagement.,Sharmin Ali,"SOSV, Chinaccelerator",0,Seed,2020
981,Nupay,0,Haryana,Neo-banking,"Integrated platform for Receivables and Payables automation, Electronic Invoicing, Reconciliations and Bank payouts","Neeraj Singh, Alok Arora",Venture Catalysts,0,Seed,2020
982,LogiNext,0,,Transport Automation,"It helps logistics companies to improve internal operations, optimise delivery networks and provide customer service","Dhruvil Sanghvi, Manisha Raisinghani","Tiger Global, Steadview Capital",390000000,Series B,2020
983,Samosa Singh,2016,Bangalore,Food,Offers hygienic Indian Snacks,"Shikhar Veer Singh, Nidhi Singh",She Capital,27000000,Series A,2020
